Epoch,TrainLoss,ValLoss,ValAcc
1,1.3759632805983226,1.3602829575538635,0.4097938144329897
2,1.3659497201442719,1.3505812883377075,0.5128865979381443
3,1.3581748207410176,1.339606761932373,0.5231958762886598
4,1.3495424091815948,1.3300655782222748,0.5773195876288659
5,1.3402732014656067,1.3153567016124725,0.5876288659793815
6,1.3279595573743184,1.3012499511241913,0.595360824742268
7,1.3159992098808289,1.2843296527862549,0.6262886597938144
8,1.2984758913516998,1.2645522356033325,0.6494845360824743
9,1.2795815467834473,1.237628698348999,0.6469072164948454
10,1.2560977339744568,1.2051101326942444,0.6752577319587629
