Epoch,TrainLoss,ValLoss,ValAcc
1,1.382879267136256,1.3756569027900696,0.39948453608247425
2,1.363741010427475,1.3521460592746735,0.2809278350515464
3,1.3473002314567566,1.3221745789051056,0.37371134020618557
4,1.322503387928009,1.2829893231391907,0.4381443298969072
5,1.2746278742949169,1.1834549009799957,0.5335051546391752
6,1.1573113699754078,0.9708741158246994,0.6185567010309279
7,0.9847602297862371,0.6760423481464386,0.7731958762886598
8,0.8151389459768931,0.5085261687636375,0.8634020618556701
9,0.7151775931318601,0.4458300545811653,0.8324742268041238
10,0.6948904345432917,0.4316691681742668,0.7963917525773195
11,0.6604281415541967,0.4198928773403168,0.8298969072164949
12,0.6382059479753176,0.3874325081706047,0.8350515463917526
13,0.6008729624251524,0.3697865828871727,0.8015463917525774
14,0.6159721910953522,0.3527565151453018,0.8247422680412371
15,0.5769973173737526,0.35924290120601654,0.7912371134020618
16,0.5428236412505308,0.32883695513010025,0.7989690721649485
17,0.5462651178240776,0.3301633670926094,0.8247422680412371
18,0.5001099333167076,0.3132374845445156,0.8634020618556701
19,0.5156794612606367,0.3182400017976761,0.8247422680412371
20,0.5127270134786764,0.3083718419075012,0.8530927835051546
21,0.507550984621048,0.2923104427754879,0.8582474226804123
22,0.48240448782841366,0.30091918259859085,0.8350515463917526
23,0.4680670077602069,0.29172443225979805,0.8427835051546392
24,0.4780649095773697,0.2975560910999775,0.8092783505154639
25,0.5214347268144289,0.28836488351225853,0.8608247422680413
26,0.4873935766518116,0.28785963729023933,0.7963917525773195
27,0.44498537356654805,0.28382036834955215,0.8711340206185567
